Vivado Simulator 2019.1
Time resolution is 1 ps
time	clock	resetn	q	ir	pc	a	b	alu	fromem	tomem
30	 0 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 1
32	 1 1 000 00000000000000000000000000001000 00000000000000000000000000000100 00000000000000000000000000001100 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 0
34	 0 1 000 00000000000000000000000000001000 00000000000000000000000000000100 00000000000000000000000000001100 00000000000000000000000000001000 00000000000000000000000000000000 00100000000001010000000000000100 00000000000000000000000000001000 00110100001001000000000010000000 1
36	 1 1 001 00000000000000000000000000001100 00000000000000000000000000010000 00000000000000000000000000011100 00000000000000000000000000001100 00000000000000000000000010000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 0
38	 0 1 001 00000000000000000000000000001100 00000000000000000000000000010000 00000000000000000000000000011100 00000000000000000000000000001100 00000000000000000000000010000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 1
40	 1 1 010 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 0
42	 0 1 010 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 1
44	 1 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 0
46	 0 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 1
48	 1 1 000 00000000000000000000000000001100 00000000000000000000000000000100 00000000000000000000000000010000 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 0
50	 0 1 000 00000000000000000000000000001100 00000000000000000000000000000100 00000000000000000000000000010000 00000000000000000000000000001100 00000000000000000000000000000000 00001100000000000000000000011000 00000000000000000000000000001100 00100000000001010000000000000100 1
52	 1 1 001 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000010000 00000000000000000000000000000100 10101100100000100000000000000000 00000000000000000000000000010000 00001100000000000000000000011000 0
54	 0 1 001 00000000000000000000000000000000 00000000000000000000000000000100 00000000000000000000000000000100 00000000000000000000000000010000 00000000000000000000000000000100 10101100100000100000000000000000 00000000000000000000000000010000 00001100000000000000000000011000 1
56	 1 1 000 00000000000000000000000001100000 00000000000000000000000000000100 00000000000000000000000001100100 00000000000000000000000001100000 00000000000000000000000000000000 00000000000000000100000000100000 00000000000000000000000001100000 00001100000000000000000000011000 0
58	 0 1 000 00000000000000000000000001100000 00000000000000000000000000000100 00000000000000000000000001100100 00000000000000000000000001100000 00000000000000000000000000000000 00000000000000000100000000100000 00000000000000000000000001100000 00001100000000000000000000011000 1
60	 1 1 001 00000000000000000000000001100100 00000000000000010000000010000000 00000000000000010000000011100100 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 0
62	 0 1 001 00000000000000000000000001100100 00000000000000010000000010000000 00000000000000010000000011100100 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 1
64	 1 1 010 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 0
66	 0 1 010 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 1
68	 1 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 0
70	 0 1 100 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 1
72	 1 1 000 00000000000000000000000001100100 00000000000000000000000000000100 00000000000000000000000001101000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 0
74	 0 1 000 00000000000000000000000001100100 00000000000000000000000000000100 00000000000000000000000001101000 00000000000000000000000001100100 00000000000000000000000000000000 10001100100010010000000000000000 00000000000000000000000001100100 00000000000000000100000000100000 1
